,Location,Wine Ratings,Lat,Lng, Soil Temperature (C) at 10 cm depth, Soil Moisture
94,"Malibu Coast,California",92.0,34.0259216,-118.7797571,12.12,0.469
40,"Cole Ranch,California",85.88888888888889,35.9733,-119.035202,7.56,0.221
25,"Carneros,California",88.76785714285714,38.2554723,-122.3349422,8.36,0.242
38,"Clements Hills,California",86.70833333333333,34.0692636,-118.4050802,10.32,0.136
160,"Placer County,California",86.83333333333333,39.0915751,-120.8039474,3.8,0.282
37,"Clear Lake,California",85.26829268292683,38.9582307,-122.6263728,5.63,0.23
190,"Santa Cruz County,California",89.4,37.0453988,-121.9579578,8.72,0.331
26,"Carneros-Napa Valley,California",90.16666666666667,38.2554723,-122.3349422,9.45,0.215
34,"Chiles Valley,California",87.08333333333333,38.5329633,-122.3271994,8.19,0.207
235,"Virginia,Virginia",85.10454545454546,37.4315734,-78.6568942,8.73,0.182
217,"Southern Oregon,Oregon",87.24528301886792,42.7976791,-122.4332992,4.57,0.236
88,"Lime Kiln Valley,California",87.0,39.112339,-121.0807196,7.9,0.205
202,"Sonoma County,California",87.40654699049631,38.5779555,-122.9888319,8.89,0.347
220,"Sta. Rita Hills,California",90.30941176470589,34.635,-120.3152777,10.56,0.173
145,"North Yuba,California",84.25,39.3685029,-121.1363446,5.81,0.209
243,"Yakima Valley,Washington",89.18654822335026,46.6074582,-120.48855,8.1,0.151
167,"Red Mountain,Washington",90.59474671669794,46.2979123,-119.4408562,5.54,0.235
237,"Walla Walla Valley (OR),Oregon",93.3125,46.0655953,-118.3387429,7.58,0.274
198,"Sierra Foothills,California",87.61538461538461,38.2692123,-119.574224,-3.06,0.192
107,"Middleburg,Virginia",87.0,38.9687211,-77.7355496,7.28,0.166
204,"Sonoma County-Monterey County-Santa Barbara County,California",87.5,38.5779555,-122.9888319,8.89,0.347
233,"Vermont,Vermont",84.5,44.5588028,-72.57784149999999,-0.21,0.314
85,"Lake Erie,New York",88.0,42.6242256,-79.0669829,0.97,0.326
96,"Marin County,California",89.6842105263158,38.083403,-122.7633036,9.33,0.234
102,"Mendocino,California",87.65602836879432,39.3076744,-123.7994591,8.53,0.343
148,"Oakville,California",90.60661764705883,38.4366996,-122.402785,8.91,0.209
136,"Napa-Sonoma-Monterey,California",87.0,36.6034319,-121.8627267,9.66,0.366
170,"Rockpile,California",88.49090909090908,35.2610718,-118.7584289,10.47,0.126
49,"Cucamonga Valley,California",86.27272727272727,34.1120955,-117.5776336,11.19,0.087
106,"Michigan,Michigan",85.0,42.2780436,-83.7382241,3.83,0.152
146,"Northern Sonoma,California",87.9090909090909,38.291859,-122.4580356,9.15,0.234
31,"Chalone,California",89.3076923076923,36.4701378,-121.2298315,8.79,0.142
42,"Columbia Gorge (OR),Oregon",89.06976744186046,45.7247667,-121.5718789,6.53,0.156
87,"Leelanau Peninsula,Michigan",83.11111111111111,45.2083328,-85.5417523,1.48,0.199
79,"Kentucky,Kentucky",82.66666666666667,37.8393332,-84.2700179,8.38,0.208
109,"Mokelumne River,California",90.0,38.1097595,-121.5749849,11.36,0.25
203,"Sonoma County-Monterey County-Napa County,California",84.0,38.5779555,-122.9888319,8.89,0.347
168,"Redwood Valley,California",86.15277777777777,39.2652491,-123.2041429,6.43,0.256
164,"Ramona Valley,California",83.0,33.0466939,-116.8591631,12.68,0.1
21,"California-Washington,California",89.0,39.3590873,-120.7999351,3.64,0.2
51,"Dry Creek Valley,California",87.39334637964775,38.61054,-122.873166,8.45,0.245
39,"Cochise County,Arizona",85.0,31.82845799999999,-109.949686,12.66,0.067
158,"Pennsylvania,Pennsylvania",83.54285714285714,41.2033216,-77.1945247,3.44,0.139
86,"Lake Michigan Shore,Michigan",82.0,42.2208698,-86.369469,3.76,0.167
77,"Isle St. George,Ohio",81.0,41.72171489999999,-82.82018719999999,3.31,0.228
91,"Long Island,New York",86.40350877192982,40.789142,-73.13496099999999,5.01,0.121
197,"Shenandoah Valley,Virginia",85.42857142857143,38.4834568,-78.84974849999999,5.04,0.144
7,"Anderson Valley,California",90.1497005988024,39.0865657,-123.4794542,7.67,0.223
236,"Wahluke Slope,Washington",88.66197183098592,46.7643025,-119.6166988,6.69,0.148
180,"San Francisco Bay-Livermore Valley,California",87.16666666666667,37.6995673,-121.8449497,8.12,0.184
